,buy_and_hold,periodic_rebalance
2015-12-02,1.0534638106509795,1.003185418176788
2015-12-03,1.0487335142101029,0.9964860200269124
2015-12-04,1.0401278572133035,0.9901832133321317
2015-12-07,1.0475786079296445,0.9955299048352383
2015-12-08,1.038022088467474,0.9841980951190685
2015-12-09,1.0384058108824494,0.9835598925475639
2015-12-10,1.0326620371736295,0.9758945025538673
2015-12-11,1.0308227279059454,0.9736104975540607
2015-12-14,1.0354923816450423,0.9741121578947011
2015-12-15,1.0325061939302125,0.9708958439616722
2015-12-16,1.0361932256049025,0.9755826583620651
2015-12-17,1.0451877238927938,0.9804565721615873
2015-12-18,1.0396593561609486,0.9724617535402001
2015-12-21,1.0479288225501144,0.9772069277019657
2015-12-22,1.0473483051514425,0.9746710409326776
2015-12-23,1.0472413342892097,0.9745206757727497
2015-12-24,1.0480437477238742,0.9795944299939998
2015-12-25,1.0489388505820787,0.9801799750599703
2015-12-28,1.038118090937637,0.9723326716382555
2015-12-29,1.0410751269593557,0.9726739279254609
2015-12-30,1.0447371825588518,0.9757429667243571
2015-12-31,1.0416867147805813,0.9727276066201348
2016-01-04,1.0193509491432482,0.961177233651591
2016-01-05,1.0161395072952948,0.9587400902833114
2016-01-06,1.0238964925127227,0.965051799204793
2016-01-07,1.013488969728038,0.9536147701702888
2016-01-08,1.0047319630073368,0.9495821145537995
2016-01-11,0.9866897903407909,0.9349655154882685
2016-01-12,0.9830274427724608,0.9269440580567633
2016-01-13,0.9804228215324773,0.9256547015365587
2016-01-14,0.9808901673008371,0.9243048254724322
2016-01-15,0.9683866100066325,0.9139685085834346
2016-01-18,0.965743801817526,0.9107228057494752
2016-01-19,0.9773709797231179,0.9202861517395191
2016-01-20,0.963206123265756,0.9077552688236845
2016-01-21,0.9550391558625491,0.9041417245580169
2016-01-22,0.9628401290011441,0.9135259809979355
2016-01-25,0.969956346852256,0.9211612635836453
2016-01-26,0.9456931515637816,0.8989683359781309
2016-01-27,0.9479107659294645,0.9048589850850335
2016-01-28,0.9382311243947907,0.896463209262649
2016-01-29,0.9506456016958673,0.9088960642434475
2016-02-01,0.9548041810160627,0.9146027494613229
2016-02-02,0.9601534565062978,0.9172668421714633
2016-02-03,0.9545433762427133,0.9116343498301706
