,trade_cost
2019-12-31,6.147004294124865e-06
2020-01-02,6.496767838131693e-06
2020-01-03,7.862239628174942e-05
2020-01-06,1.7298976308492018e-05
2020-01-07,2.856974616238303e-05
2020-01-08,1.4462221196785162e-05
2020-01-09,1.618889308772576e-05
2020-01-10,4.408937689384167e-05
2020-01-13,8.946658898481956e-06
2020-01-14,4.253029828649776e-06
2020-01-15,4.937348916345019e-06
2020-01-16,4.965873263568923e-06
2020-01-17,1.5552688843538118e-05
2020-01-20,2.0731458663756954e-06
2020-01-21,1.0437927559983025e-05
2020-01-22,5.49619809783404e-05
2020-01-23,1.711954757905273e-05
2020-02-03,5.069114779632414e-05
2020-02-04,7.84258125344045e-05
2020-02-05,3.967145127146057e-05
2020-02-06,1.3245677874940777e-05
2020-02-07,9.590183148415136e-06
2020-02-10,1.9144100543204564e-06
2020-02-11,3.0087926498729293e-07
2020-02-12,6.589004376636135e-06
2020-02-13,1.6496678251293334e-06
2020-02-14,1.2172842012722826e-05
2020-02-17,1.2639943934761783e-05
2020-02-18,3.0690449967692088e-06
2020-02-19,5.426140949501848e-06
2020-02-20,6.997034739367088e-06
2020-02-21,4.778756980043632e-06
2020-02-24,1.8000497993421938e-05
2020-02-25,1.6842223408931046e-05
2020-02-26,2.173444956414184e-05
2020-02-27,3.4372541465380396e-06
2020-02-28,8.020722815452616e-06
2020-03-02,2.6191064956248734e-05
2020-03-03,2.5051310418046077e-05
2020-03-04,7.489492430524033e-07
2020-03-05,1.0171597583208784e-05
2020-03-06,3.6527461437963134e-06
2020-03-09,9.172390490389059e-06
2020-03-10,2.2261683637656422e-05
2020-03-11,3.0579715442005764e-06
2020-03-12,4.931567721208303e-06
2020-03-13,1.202924166186312e-05
2020-03-16,1.2647723566006547e-05
2020-03-17,1.820117294306023e-05
2020-03-18,2.1696737346733198e-05
2020-03-19,6.2755302610829625e-06
2020-03-20,4.237534238697913e-06
2020-03-23,6.551852012592487e-06
2020-03-24,1.2658339483547207e-05
2020-03-25,2.9107839685128057e-05
2020-03-26,7.748930242831642e-06
2020-03-27,1.8837886487098055e-06
2020-03-30,4.7008939875574713e-07
2020-03-31,6.52467026647955e-07
2020-04-01,1.6740883547531788e-06
2020-04-02,1.5871225972729635e-06
2020-04-03,2.9440222398732092e-06
2020-04-07,3.644215642606696e-07
2020-04-08,1.3086050765576489e-05
2020-04-09,1.002691202533243e-05
2020-04-10,6.775067735242009e-07
2020-04-13,8.198540687764357e-06
2020-04-14,3.4776154224908096e-07
2020-04-15,4.046086625802952e-06
2020-04-16,0.00011570797879218717
2020-04-17,4.21647708992778e-06
2020-04-20,4.737995085812852e-06
2020-04-21,4.504338291285402e-07
2020-04-22,2.4596525887644467e-06
2020-04-23,6.786034210975168e-06
2020-04-24,4.869688763416813e-06
2020-04-27,1.3110302538239839e-06
2020-04-28,3.5507653517494778e-06
2020-04-29,2.3893053835223575e-06
2020-04-30,4.254917895019899e-06
2020-05-06,1.4905906230620475e-05
2020-05-07,1.366047591469196e-05
2020-05-08,5.2356136434991924e-05
2020-05-11,1.7411339103499783e-06
2020-05-12,0.00014045954058880598
2020-05-13,2.3802952652588575e-06
2020-05-14,6.585450382678749e-07
2020-05-15,3.919534456460459e-06
2020-05-18,0.0001403304725340782
2020-05-19,1.5484493367132128e-05
2020-05-20,8.576060558181837e-06
2020-05-21,1.0576949315986538e-05
2020-05-22,4.4800639444317405e-06
2020-05-25,1.3539458817003257e-05
2020-05-26,7.419210250358948e-06
2020-05-27,2.384103865884106e-05
2020-05-28,3.008910848605589e-06
2020-05-29,4.548974254577877e-06
2020-06-01,2.562246892967909e-06
2020-06-02,2.2071939230662773e-05
2020-06-03,1.8522193714631944e-05
2020-06-04,4.712984704076329e-06
2020-06-05,3.246329196968215e-06
2020-06-08,2.2177896914017182e-06
2020-06-09,1.3516047261740757e-05
2020-06-10,9.01979503687476e-06
2020-06-11,4.751232450144263e-06
2020-06-12,0.00015601205071469343
2020-06-15,4.985798743320887e-06
2020-06-16,0.00015297231980185738
2020-06-17,0.0001640977932280248
2020-06-18,1.0355960450360368e-05
2020-06-19,2.1167769233443774e-06
2020-06-22,4.777495072011799e-06
2020-06-23,4.996326795676631e-06
2020-06-24,1.540772537788937e-05
2020-06-29,2.3332420588880546e-05
2020-06-30,6.553891653376439e-06
2020-07-01,4.460490256304517e-06
2020-07-02,1.4161778470087042e-05
