,nav
2022-01-06,1.104656628359151
2022-01-07,1.1068781681747168
2022-01-10,1.1069499305767994
2022-01-11,1.1055578305207923
2022-01-12,1.108392362297191
2022-01-13,1.106958938361118
2022-01-14,1.1084090481156443
2022-01-17,1.1083355195875162
2022-01-18,1.1101453203588012
2022-01-19,1.108168370866776
2022-01-20,1.1050171948334055
2022-01-21,1.104375642705649
2022-01-24,1.1063258995553178
2022-01-25,1.106117050147089
2022-01-26,1.1043050759551305
2022-01-27,1.1070117344492023
2022-01-28,1.1136093608815658
2022-02-07,1.1156328761295156
2022-02-08,1.1152628348231381
2022-02-09,1.1136933385918686
2022-02-10,1.1157166675716492
2022-02-11,1.112509395266258
2022-02-14,1.111356050811411
2022-02-15,1.107191917701194
2022-02-16,1.1100108420749626
2022-02-17,1.108150924959778
2022-02-18,1.1044422209786566
2022-02-21,1.1029098353725417
2022-02-22,1.1004626554399937
2022-02-23,1.1007603442030067
2022-02-24,1.0978535665395432
2022-02-25,1.1011227117893645
2022-02-28,1.1026675034697264
2022-03-01,1.1036405283219588
2022-03-02,1.1041925432739388
2022-03-03,1.1066448612686939
2022-03-04,1.104535628004029
2022-03-07,1.109159671057272
2022-03-08,1.1071569847724119
2022-03-09,1.1063235917643042
2022-03-10,1.108324070948499
2022-03-11,1.1098434067769607
2022-03-14,1.1142208302797092
2022-03-15,1.1131191518126
2022-03-16,1.1146894788637098
2022-03-17,1.1138981709005449
2022-03-18,1.1164780157931211
2022-03-21,1.118232997355615
2022-03-22,1.117608738405903
2022-03-23,1.1193502524596346
2022-03-24,1.1203008832713297
2022-03-25,1.1210893914190576
2022-03-28,1.122131578208406
2022-03-29,1.1204060686334907
2022-03-30,1.1168902932950768
2022-03-31,1.1163384081326024
2022-04-01,1.117578177860546
2022-04-06,1.1196699449036431
2022-04-07,1.122525617899681
2022-04-08,1.1231868881967315
2022-04-11,1.1267315923082222
2022-04-12,1.1277827670602523
2022-04-13,1.1288059344543175
2022-04-14,1.130764851997182
2022-04-15,1.1325493796717012
2022-04-18,1.1334540518638396
2022-04-19,1.133298945917573
2022-04-20,1.1329356899558822
2022-04-21,1.136253905421925
2022-04-22,1.1329267915795476
2022-04-25,1.1314932666827038
2022-04-26,1.1332881222459488
2022-04-27,1.1301751130708366
2022-04-28,1.1302852664411447
2022-04-29,1.1332746725684226
2022-05-05,1.1351789393712544
2022-05-06,1.1334982327934402
2022-05-09,1.1346092113676278
2022-05-10,1.1319203524055501
2022-05-11,1.1305699108863276
2022-05-12,1.1303891640976744
2022-05-13,1.1307504860780702
2022-05-16,1.1311340266902392
2022-05-17,1.1334570405081779
2022-05-18,1.1347578301232615
2022-05-19,1.1315606173431767
2022-05-20,1.1305759708876821
2022-05-23,1.1313572694824794
2022-05-24,1.1346450175943577
2022-05-25,1.1356277114041673
2022-05-26,1.1386559959273537
2022-05-27,1.1370943899058192
2022-05-30,1.134670396793441
2022-05-31,1.1335664953693443
2022-06-01,1.1313694031260222
2022-06-02,1.1323116797522634
2022-06-06,1.1320216185248397
2022-06-07,1.1318802776714436
2022-06-08,1.1321761198307394
2022-06-09,1.1331352677461481
2022-06-10,1.1320722410359416
2022-06-13,1.1359671429569003
2022-06-14,1.132619485190307
2022-06-15,1.130013982428889
2022-06-16,1.130425813207528
2022-06-17,1.1297285935571342
2022-06-20,1.126996525148129
2022-06-21,1.127162011472581
2022-06-22,1.1279734546384002
2022-06-23,1.1262806905865503
2022-06-24,1.1235314713134752
2022-06-27,1.1218120142434527
2022-06-28,1.1220063515580725
2022-06-29,1.124253118021709
2022-06-30,1.1229030556978772
2022-07-01,1.1227867768492714
2022-07-04,1.12050887200162
2022-07-05,1.1194448715155696
2022-07-06,1.1211149767491095
2022-07-07,1.1211958090795062
2022-07-08,1.121702391371282
2022-07-11,1.1232594020192175
2022-07-12,1.1248798668006825
2022-07-13,1.124255758298986
2022-07-14,1.125328246625936
2022-07-15,1.1275648738838113
2022-07-18,1.1257736875833235
2022-07-19,1.1262744179666864
2022-07-20,1.1255932201225551
2022-07-21,1.1261903836273373
2022-07-22,1.1279093365078894
2022-07-25,1.1283103818468256
2022-07-26,1.1303097283061552
2022-07-27,1.1302469337098004
2022-07-28,1.1288362758902546
2022-07-29,1.13166791990718
2022-08-01,1.1331420259327563
2022-08-02,1.1363519620947256
2022-08-03,1.1365896900262735
2022-08-04,1.134969021009241
2022-08-05,1.1321559818887874
2022-08-08,1.1341548570107884
2022-08-09,1.1330435172742268
2022-08-10,1.1350532896098269
2022-08-11,1.1324322413955374
2022-08-12,1.1333072995603672
2022-08-15,1.135479566043162
2022-08-16,1.1357399728872772
2022-08-17,1.1365171522994544
2022-08-18,1.1397093580202788
2022-08-19,1.1416781323122795
2022-08-22,1.1421651233069656
2022-08-23,1.1434273946652829
2022-08-24,1.1443710451924007
2022-08-25,1.1426268033317828
2022-08-26,1.1417561149808952
2022-08-29,1.1457451814829438
2022-08-30,1.1463522319048036
2022-08-31,1.1461155161050367
2022-09-01,1.1470618698942727
2022-09-02,1.147884069072388
2022-09-05,1.1483897299576626
2022-09-06,1.147634112573695
2022-09-07,1.1459950226392657
2022-09-08,1.145556384907279
2022-09-09,1.1435471209040602
2022-09-13,1.1421126826297792
2022-09-14,1.1427301255943523
2022-09-15,1.1436828947833515
2022-09-16,1.1443761678237827
2022-09-19,1.1439956603197803
2022-09-20,1.1441059184993367
2022-09-21,1.1453301836018577
2022-09-22,1.1457136050892573
2022-09-23,1.145217993307343
2022-09-26,1.1409766290513086
2022-09-27,1.1393464841496208
2022-09-28,1.14083193741694
2022-09-29,1.1412116376840904
2022-09-30,1.1439230821682795
2022-10-10,1.1519100570760616
2022-10-11,1.1533947143653782
2022-10-12,1.1513931022581871
2022-10-13,1.1533502981784092
2022-10-14,1.1527371937820996
2022-10-17,1.1507542826301251
2022-10-18,1.149809496278586
2022-10-19,1.1511661404122628
2022-10-20,1.151308459425063
2022-10-21,1.15150140242362
2022-10-24,1.1509246308663754
2022-10-25,1.1501932428782284
2022-10-26,1.149953896302541
2022-10-27,1.152201633997522
2022-10-28,1.1560857600476628
2022-10-31,1.1558760448757956
2022-11-01,1.153198995409254
2022-11-02,1.1531508910214479
2022-11-03,1.154246655053347
2022-11-04,1.152408366660428
2022-11-07,1.153645574428985
2022-11-08,1.155387426040653
2022-11-09,1.1611834780854404
2022-11-10,1.1588435053792416
2022-11-11,1.1547524651003844
2022-11-14,1.1513710665459942
2022-11-15,1.14910859594531
2022-11-16,1.1489500856647725
2022-11-17,1.149959405314352
2022-11-18,1.1497544349892737
2022-11-21,1.1510691105587192
2022-11-22,1.151679894162862
2022-11-23,1.15362058838246
2022-11-24,1.1544680625327617
2022-11-25,1.153069348634029
2022-11-28,1.152442042297799
2022-11-29,1.1475627536644468
2022-11-30,1.1482644521616958
2022-12-01,1.1463247459109536
2022-12-02,1.1475631609467376
2022-12-05,1.1439486297310868
2022-12-06,1.140347295446105
2022-12-07,1.1392399250072047
2022-12-08,1.1413960531467087
2022-12-09,1.139580221122766
2022-12-12,1.1404104895548237
2022-12-13,1.1391529019565787
2022-12-14,1.1404166304129748
2022-12-15,1.1396329312966584
2022-12-16,1.140641048648444
2022-12-19,1.1442059290236424
2022-12-20,1.1455686465562185
2022-12-21,1.1471947491970307
2022-12-22,1.1482664808865815
2022-12-23,1.1468879195601638
2022-12-26,1.1477258777421626
2022-12-27,1.1469598236821483
2022-12-28,1.1491300500453758
2022-12-29,1.1483390620101077
2022-12-30,1.1505509859194638
2023-01-03,1.1495401595245418
2023-01-04,1.1500550916311278
2023-01-05,1.1478402518246744
2023-01-06,1.1456051066583741
2023-01-09,1.1456971146331811
2023-01-10,1.1448417800173376
2023-01-11,1.1441484619248194
2023-01-12,1.1434501347990993
2023-01-13,1.1433867463313077
2023-01-16,1.1421401802630677
2023-01-17,1.142489559361517
2023-01-18,1.1428820371560975
2023-01-19,1.1430179558153597
2023-01-20,1.1451976349678812
2023-01-30,1.1420568156182251
2023-01-31,1.14199347977593
2023-02-01,1.1417974100010355
2023-02-02,1.1423938457826466
2023-02-03,1.1407701204717637
2023-02-06,1.140237342517451
2023-02-07,1.1398803801119612
2023-02-08,1.1401297237112964
2023-02-09,1.1397538574318216
2023-02-10,1.1400327465226556
2023-02-13,1.141323263660928
2023-02-14,1.140519177308414
2023-02-15,1.1405638854204718
2023-02-16,1.1401696215476878
2023-02-17,1.1416519593167653
2023-02-20,1.1389937080798294
2023-02-21,1.1381131183724396
2023-02-22,1.139346016412999
2023-02-23,1.1390108749019132
2023-02-24,1.1399173512325471
2023-02-27,1.140606254066891
2023-02-28,1.1395921432185445
