,turnover
2022-07-01,0.001654400529784928
2022-07-04,0.19785358753716858
2022-07-05,0.006050836657860357
2022-07-06,0.001351392934091207
2022-07-07,0.004202060944983266
2022-07-08,0.00012373114315740452
2022-07-11,0.00340537492318076
2022-07-12,0.0002725463761706244
2022-07-13,0.1934223873405254
2022-07-14,0.1934223873405253
2022-07-15,0.001274302456650396
2022-07-18,0.004122438368351716
2022-07-19,0.2123552592031291
2022-07-20,0.0022684666966538702
2022-07-21,0.001147313012197372
2022-07-22,0.0030195669988867906
2022-07-25,0.028554126887374236
2022-07-26,0.18316692758291744
2022-07-27,0.18739910254748404
2022-07-28,0.1873991025474839
2022-07-29,0.17562258274882242
2022-08-01,0.016991865696350736
2022-08-02,0.013055043363196878
2022-08-03,0.004541779512567689
2022-08-04,0.0033877205270450676
2022-08-05,0.004896102073871363
2022-08-08,0.2060922722245706
2022-08-09,0.0021212247433916934
2022-08-10,0.001606645547902602
2022-08-11,8.564059810860572e-05
2022-08-12,0.0003670773657360772
2022-08-15,0.0022660351704681427
2022-08-16,0.021712700709044457
2022-08-17,0.0007867690729757362
2022-08-18,0.0006967754290784015
2022-08-19,9.238345943913401e-05
2022-08-22,0.001628180830816485
2022-08-23,0.0003083166473426546
2022-08-24,0.001042281574760509
2022-08-25,0.00027089471574796853
2022-08-26,0.0018038332251793382
2022-08-29,0.0002809864732986819
2022-08-30,5.846886816026492e-05
2022-08-31,0.0008744097359299555
2022-09-01,0.27169292051676674
2022-09-02,0.27169292051676663
2022-09-05,0.0018203906679045492
2022-09-06,0.2433437397694401
2022-09-07,0.0009982325365629832
2022-09-08,0.012273039522241989
2022-09-09,0.007561875259339684
2022-09-13,0.012326731629153358
2022-09-14,0.008959453399479612
2022-09-15,0.00192434746830588
2022-09-16,0.0047617265229914114
2022-09-19,0.005590806358676766
2022-09-20,0.2468229543506127
2022-09-21,0.2531196889952271
2022-09-22,0.0003226988349080591
2022-09-23,0.0018074593698890022
2022-09-26,0.007835537739480085
2022-09-27,0.029816821036119254
2022-09-28,0.0021906915490548136
2022-09-29,0.00024127794984326809
2022-09-30,0.005619816813386715
2022-10-10,0.008865122440004852
2022-10-11,0.29980608442983947
2022-10-12,0.32591469816658514
2022-10-13,0.0029190064529813903
2022-10-14,0.004224038230909426
2022-10-17,0.040100253205856716
2022-10-18,0.0033831214226182384
2022-10-19,0.002029043534515461
2022-10-20,0.00046681211952232307
2022-10-21,0.3695390503248236
2022-10-24,0.000982074460553796
2022-10-25,0.0009805004351984246
2022-10-26,0.0003225185062780203
2022-10-27,0.00022049295459557888
2022-10-28,0.0002980443416656445
2022-10-31,0.002697703260111709
2022-11-01,0.3263907910989008
2022-11-02,0.012711393374591321
2022-11-03,0.009600744774472932
2022-11-04,0.0010318957872249672
2022-11-07,0.010378095515402495
2022-11-08,0.022432741172223335
2022-11-09,0.001553726090272111
2022-11-10,0.13450898393121674
2022-11-11,0.007772643280659599
2022-11-14,0.026898971151245944
2022-11-15,0.030121320785863482
2022-11-16,0.0027859135001262053
2022-11-17,0.008283956950628196
2022-11-18,0.014291398366131448
2022-11-21,0.001085061805209675
2022-11-22,0.02349614524548581
2022-11-23,0.0012275603592844103
2022-11-24,0.01800519256555918
2022-11-25,0.007576714708655279
2022-11-28,0.02209297059251355
2022-11-29,0.0164219302484293
2022-11-30,0.03201029049788822
2022-12-01,0.0037542525711900185
2022-12-02,0.0026077320590491004
2022-12-05,0.006059417144778749
2022-12-06,0.030142920402299662
2022-12-07,0.023100200483472756
2022-12-08,0.00433774533326365
2022-12-09,0.015264466897283634
2022-12-12,0.0008304747133137322
2022-12-13,0.0004577506049053062
2022-12-14,0.025048384818001583
2022-12-15,0.009290039888214946
2022-12-16,0.013628417230867065
2022-12-19,0.006451809399089445
2022-12-20,0.0052004687082596035
2022-12-21,0.0019866653027429404
2022-12-22,0.019377803304428412
2022-12-23,0.004721689531887681
2022-12-26,0.019954029725182072
2022-12-27,0.005154478219399364
2022-12-28,0.0011389082068911996
2022-12-29,0.016202808510112937
2022-12-30,0.005926419228723806
2023-01-03,0.0070534991125248
2023-01-04,0.0015722839947986747
2023-01-05,0.013855198294171353
2023-01-06,0.003915866044750589
2023-01-09,0.017405085176528563
2023-01-10,0.02947798221422327
2023-01-11,0.002037551780564105
2023-01-12,0.007460909948565908
2023-01-13,0.0014619571263599224
2023-01-16,0.002169443352562847
2023-01-17,0.002614800269266103
2023-01-18,0.0021644486130305424
2023-01-19,0.00702710406109177
2023-01-20,0.003186688753348342
2023-01-30,0.008920680073792583
2023-01-31,0.0029275378638751667
2023-02-01,0.02135527886799915
2023-02-02,0.004347672579165705
2023-02-03,0.010040162627795328
2023-02-06,0.0445761441964489
2023-02-07,0.024076352685388623
2023-02-08,0.0004241177746252267
2023-02-09,0.00219123189405062
2023-02-10,0.0008469587167240847
2023-02-13,0.005826944839462125
2023-02-14,0.011576406772691623
2023-02-15,6.264027980452946e-05
2023-02-16,0.0014984827592514072
2023-02-17,0.0004117986669880114
2023-02-20,0.0032829716647233137
2023-02-21,1.732641766157876
2023-02-22,0.0001739032528993989
2023-02-23,0.003007530196188879
2023-02-24,0.0009033596959503454
2023-02-27,0.0019038187899172443
2023-02-28,1.7326473738098946
2023-03-01,1.7326473738098946
2023-03-02,0.0021069132292368398
2023-03-03,0.0032453854989579756
2023-03-06,0.00866436322801728
2023-03-07,0.005080970594455836
2023-03-08,0.0032856065448002014
2023-03-09,0.05127927313295333
2023-03-10,0.014099645762692403
2023-03-13,0.017768721198944737
2023-03-14,0.012728918657044785
2023-03-15,0.009972530412697744
2023-03-16,0.005203115014405457
2023-03-17,0.049018780442596915
2023-03-20,0.004918727955609409
2023-03-21,0.1626276306605715
2023-03-22,0.022678383908365796
2023-03-23,0.007392770035281215
2023-03-24,0.00184047600073306
2023-03-27,0.0010910722570310338
2023-03-28,0.004656089920198225
2023-03-29,0.009254656547015572
2023-03-30,0.011256910355800509
2023-03-31,0.0016941791012424212
2023-04-03,0.006747759111872809
2023-04-04,0.045244661189882074
2023-04-06,0.010847297219775343
2023-04-07,0.010481977400623343
2023-04-10,0.003522081449892245
2023-04-11,0.02094484693872034
2023-04-12,0.020119965569342535
2023-04-13,0.0028013895419375934
2023-04-14,1.8791737883850566
2023-04-17,0.004429080843178557
2023-04-18,0.002533881205253958
2023-04-19,0.0006298835133227362
2023-04-20,0.004502761503360618
2023-04-21,1.8719052294388279
2023-04-24,1.8053792875407892
2023-04-25,0.06831564830950937
2023-04-26,1.8701819012417837
2023-04-27,0.7334287589017916
2023-04-28,0.5602737625463002
2023-05-04,1.093435332043711
2023-05-05,0.058397103671312844
2023-05-08,0.001209383369906336
2023-05-09,0.016771173421235075
2023-05-10,1.8185551336758707
2023-05-11,0.013915743311506568
2023-05-12,1.8046393903643643
2023-05-15,0.0013425647035305022
2023-05-16,1.7853688741314024
2023-05-17,0.007346343008371475
2023-05-18,0.001502515380436234
2023-05-19,0.0034822894798608728
2023-05-22,0.004555129878310929
2023-05-23,1.7806465045360285
2023-05-24,0.0300573918458526
2023-05-25,0.0038460836910559904
2023-05-26,0.005034993959657563
2023-05-29,0.566214012770964
2023-05-30,0.5372872783091338
2023-05-31,0.5372872783091338
2023-06-01,1.7975769400737696
2023-06-02,0.11442061108999052
2023-06-05,0.11442061108999053
2023-06-06,0.014141194878365529
2023-06-07,0.16964165107935872
2023-06-08,0.16964165107935886
2023-06-09,0.15940188209096523
2023-06-12,0.009587230934883853
2023-06-13,0.0009167469281199173
2023-06-14,0.006105781165957974
2023-06-15,0.15802717197507354
2023-06-16,0.0896968797661724
2023-06-19,0.19710668649883473
2023-06-20,0.007270803606726342
2023-06-21,0.0013372292976119027
2023-06-26,0.1904686333397644
2023-06-27,0.005198398628878047
2023-06-28,0.00822247035486743
2023-06-29,0.09902905065509916
2023-06-30,0.00027665213413152756
2023-07-03,0.015287215283584732
2023-07-04,0.005442320894305103
2023-07-05,0.002613627088271439
2023-07-06,0.016824836089961284
2023-07-07,0.0002896838851153549
2023-07-10,0.0024144845091966516
2023-07-11,0.005701519519397957
2023-07-12,0.000393565199093171
2023-07-13,0.0004610742072467533
2023-07-14,0.026089162297704388
2023-07-17,0.006440407799837705
2023-07-18,0.0016280766249924666
2023-07-19,0.000906287316766341
2023-07-20,0.03811470085848309
2023-07-21,0.011304834146230382
2023-07-24,0.007381701207046933
2023-07-25,0.003162870391931895
2023-07-26,0.09571046278471966
2023-07-27,0.004495505578514206
2023-07-28,0.004863007101282776
2023-07-31,0.027250855171500887
2023-08-01,0.008305662538109188
2023-08-02,0.08862578804176767
2023-08-03,0.01039413371678824
2023-08-04,0.0197956288657238
2023-08-07,0.006340765114685919
2023-08-08,0.0024602301897106438
2023-08-09,0.001507493218494714
2023-08-10,0.002809331897937792
2023-08-11,0.002841562039731474
2023-08-14,0.008281415155913685
2023-08-15,0.0019946926922291414
2023-08-16,0.05665270588029396
2023-08-17,0.013237655521755862
2023-08-18,0.004084046136989802
2023-08-21,0.010887996524721215
2023-08-22,0.002269625307159788
2023-08-23,0.008528139294289964
2023-08-24,0.010638227050932418
2023-08-25,0.015061822760674977
2023-08-28,0.01874613764592882
2023-08-29,0.03361898587373112
2023-08-30,0.025195001542144324
2023-08-31,0.04679921916479843
2023-09-01,0.007190881893963261
2023-09-04,0.017478624138954832
